Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
351,Olivier-Maxence Prosper,23,MEM,PF,29,1,398,14.0,.641,.444,.371,6.7,15.6,11.2,6.7,1.0,0.9,12.2,17.1,0.6,0.3,0.9,.108,-0.3,-1.6,-2.0,0.0,,prospol01
352,Tristan Vukcevic,22,WAS,C,33,3,394,16.6,.575,.397,.402,5.3,16.5,10.9,14.3,1.2,5.1,14.9,26.9,0.1,0.2,0.3,.035,-0.6,-1.0,-1.6,0.0,,vukcetr01
353,Ben Saraf,19,BRK,SG,22,5,384,5.8,.439,.425,.292,2.0,9.2,5.4,22.7,2.2,1.0,23.9,19.0,-0.8,0.2,-0.6,-0.074,-6.3,-1.4,-7.7,-0.6,,sarafbe01
354,Dalen Terry,23,2TM,SG,35,0,384,11.3,.529,.452,.163,5.4,12.8,9.1,15.0,2.7,2.5,16.5,14.7,0.0,0.4,0.4,.049,-2.6,0.9,-1.7,0.0,,terryda01
354,Dalen Terry,23,CHI,SG,34,0,377,11.7,.539,.451,.167,5.5,12.7,9.1,14.9,2.8,2.5,16.1,14.6,0.1,0.4,0.5,.058,-2.3,1.0,-1.3,0.1,,terryda01
354,Dalen Terry,23,PHI,SG,1,0,7,-11.3,.000,.500,.000,0.0,16.1,7.9,16.8,0.0,0.0,33.3,18.2,-0.1,0.0,-0.1,-0.403,-14.6,-6.7,-21.3,0.0,,terryda01
355,Cam Christie,20,LAC,SG,38,0,379,9.7,.514,.389,.389,3.8,14.3,9.2,8.3,1.3,0.8,11.2,16.7,0.0,0.3,0.2,.028,-3.1,-1.3,-4.4,-0.2,,chrisca02
356,Branden Carlson,26,OKC,C,34,2,373,15.5,.604,.454,.131,6.4,18.7,12.8,7.2,0.8,4.7,8.0,17.4,0.5,0.7,1.2,.150,-0.3,0.2,-0.1,0.2,,carlsbr01
357,Bogdan Bogdanović,33,LAC,SG,17,3,372,7.8,.502,.612,.157,1.6,12.8,7.4,17.0,1.1,0.3,14.5,18.1,-0.2,0.2,0.0,.005,-3.2,-1.1,-4.3,-0.2,,bogdabo01
358,Ariel Hukporti,23,NYK,C,39,4,361,11.6,.621,.075,.491,11.7,23.4,17.5,7.2,0.7,5.8,24.6,10.0,0.3,0.5,0.9,.115,-3.6,1.4,-2.2,0.0,,hukpoar01
359,Jeremiah Robinson-Earl,25,2TM,PF,22,3,361,9.5,.468,.410,.180,10.5,20.3,15.3,5.6,1.2,0.2,10.0,14.1,0.0,0.3,0.3,.038,-3.4,-1.6,-5.0,-0.3,,robinje02
